user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
1406,SWE,0,68,176,23,MåLARE,1,213,1050,4
1409,GBR,0,78,186,35,UROLOGICAL SURGEON,0,221,1100,4
1417,AUS,0,78,185,28,GYM OWNER,0,69,1100,4
1424,IRL,0,53,170,21,STUDENT,0,2,600,2
1446,ZAF,0,83,187,24,"CLIMBING GUIDE & INSTRUCTOR, ACCESS WORKER & OWNER ROCKSPORT MOUNTAIN & OUTDOOR",0,25,1000,4
1452,AUS,0,68,186,20,WRITER,1,46,1100,4
1458,ESP,0,78,181,29,TEACHER & SPANISH ADMINISTRATOR FOR 8A.NU,1,577,1100,4
1465,ITA,0,68,175,31,AGRONOMIST,0,360,1050,4
1469,ISR,0,88,192,21,STUDENT,0,49,600,2
1470,FRA,0,68,178,25,TA MèRE,1,56,1150,4
1471,AUS,0,78,181,26,GYM INSTRUCTOR,1,72,1100,4
1472,USA,0,98,183,20,STUDENT,0,38,400,1
1476,CZE,0,68,185,21,STUDENT OF ECONOMICS,1,1910,1500,4
1477,FRA,1,63,175,34,ENGLISH TEACHER,0,1192,1100,4
1479,NLD,0,68,183,29,PROCESS ENGINEER,0,65,1000,4
1486,DNK,0,73,185,29,GRADUATE STUDENT,1,45,1050,4
1487,ESP,0,63,172,20,ESTUDIANTE,0,46,900,3
1490,USA,1,58,160,23,INFORMATION ARCHITECT,1,138,800,3
1496,NZL,0,63,180,25,STUDENT,0,17,800,3
1498,POL,0,68,185,21,STUDENT,1,159,1100,4
1499,USA,0,63,177,33,KNITTING,1,330,1200,4
1500,GAB,0,63,177,31,VEGETABLES EATER,1,174,1150,4
1506,ITA,0,63,179,23,"STUDENT, MATHEMATHICS",1,705,1200,4
1513,CHE,0,88,188,36,SOCIAL WORKER/NURSE,0,649,1050,4
1518,FRA,0,73,187,28,PROFESSOR,0,59,1050,4
1519,DNK,0,73,184,24,BOATBUILDER,0,384,1050,4
1522,USA,0,93,158,27,BRICK MASON,1,400,1150,4
1524,SWE,0,68,171,19,SOFTWARE ENGINEER,0,46,600,2
1528,HRV,0,73,183,28,STUDENT,1,61,850,3
1538,FRA,1,63,179,25,ETUDIANTE,1,58,1100,4
1543,CAN,0,88,175,26,GRAPHIC DESIGNER,0,74,800,3
1544,AUT,0,63,167,22,STUDENT,1,46,1050,4
1549,USA,0,68,185,36,ORTHOPAEDIC TRAUMA SURGEON UNIVERSITY OF UTAH MEDICAL CENTER,0,28,1100,4
1550,ITA,0,68,182,33,JOURNALIST,1,142,1100,4
1551,AUS,0,78,178,21,ROPE ACCESS,0,559,1250,4
1579,YUG,0,83,185,21,STUDENT,1,6,1000,4
1580,FRA,0,63,161,37,BE ESCALADE,1,43,1200,4
1585,USA,0,73,177,31,AUTHOR / EDITOR / PHOTOGRAPHER,1,1057,1000,4
1586,DEU,1,53,168,31,ARTIST,1,94,1250,4
1588,USA,0,68,173,25,DAD,1,811,1100,4
1600,SWE,0,83,190,20,MAGISTER,0,206,700,2
1608,DEU,0,73,183,19,HUMAN,0,339,950,3
1609,NLD,0,78,190,23,OPTICAL CHIP DESIGN ENGINEER,0,89,800,3
1624,YUG,0,78,185,21,STUDENT,1,13,650,2
1626,AUS,0,63,174,25,GYM MANAGER/ ROUTE SETTER,1,189,1250,4
1627,SWE,0,78,178,27,RESEARCH MANAGER,0,96,600,2
1628,FRA,1,48,162,27,STUDENT,1,24,1050,4
1635,SWE,0,83,183,23,LäRARE,0,52,800,3
1636,SWE,0,68,178,21,KNEGARE,1,703,1100,4
