user_id,country,sex,weight,height,years_climbing,occupation,sponsored,number_of_logged_climbs,max_climbing_grade,skill_level
23333,CAN,0,68,172,14,,1,149,1150,4
23334,AUT,0,83,184,35,,0,546,900,3
23337,USA,0,83,193,12,ATTORNEY,1,222,950,3
23339,FRA,0,83,193,16,,0,4,600,2
23340,USA,1,0,0,2020,,0,5,750,2
23341,MEX,0,73,160,18,DESIGNER,0,117,650,2
23342,USA,0,58,170,15,ADVENTURER,0,7,800,3
23343,USA,0,78,152,15,SALES,0,91,950,3
23347,CHE,0,63,166,14,STUDENT,0,254,900,3
23349,SWE,0,68,175,13,IVAR HILDEMAN,1,6,600,2
23350,ISL,0,73,187,16,STUDENT,0,6,700,2
23351,USA,1,48,0,12,STUDENT,0,19,750,2
23352,USA,0,78,179,13,N/A,0,3,400,1
23354,DEU,0,0,0,2020,,0,50,1000,4
23355,ESP,0,63,178,2020,,0,62,850,3
23356,USA,0,68,0,46,INTERNATIONAL SALES,1,11,800,3
23357,DEU,1,53,164,21,,0,612,900,3
23360,GBR,0,0,0,13,,1,27,850,3
23362,ESP,0,73,181,21,,0,9,500,2
23363,GBR,0,0,0,13,REVOLUTIONARY,0,105,1050,4
23364,RUS,0,0,0,2020,,1,2,900,3
23365,FRA,0,78,190,54,,1,26,550,2
23366,ESP,1,0,0,13,,0,53,500,2
23367,USA,0,78,0,12,SETTER,1,98,950,3
23368,FRA,1,58,169,2020,,0,1,1000,4
23371,USA,0,68,182,13,,0,1153,1200,4
23372,NZL,0,58,180,14,LABOURER,0,5,750,2
23373,USA,0,68,0,17,CLIMBING GYM OWNER,0,14,800,3
23375,HUN,0,78,184,16,,0,49,700,2
23376,ZAF,1,53,56,14,,0,1,400,1
23377,AUS,0,78,193,13,"SUBMERGED CERAMICS TECHNICIAN, ORGANIC TERRAIN DESIGNER AND MODIFIER",0,1,350,1
23382,BEL,0,68,188,12,STUDENT,0,45,1000,4
23387,CAN,0,68,180,2020,,0,118,1050,4
23389,GBR,0,73,178,2020,ENGINEERING GEOLOGIST,0,5,800,3
23390,FRA,0,58,165,17,,0,22,850,3
23391,ESP,0,0,0,2020,,0,100,1000,4
23392,VGB,0,63,170,16,BIOLOGIST,0,1,650,2
23394,CAN,0,73,179,17,ELECTRICA/FIRMWARE ENGINEER,0,945,900,3
23395,ESP,0,63,174,32,OUT - ONOMO,0,3,950,3
23396,HRV,0,78,184,12,,0,58,550,2
23399,JPN,0,0,0,2020,,0,14,1050,4
23400,USA,0,0,0,15,,0,1865,950,3
23403,ESP,0,0,0,12,,0,17,500,2
23404,SRB,0,68,173,15,SPORT CLIMBING TRAINER,0,161,900,3
23405,USA,1,58,176,14,,0,7,500,2
23409,FRA,0,68,178,18,,0,509,1100,4
23411,ESP,1,58,156,2020,,0,26,400,1
23412,ESP,0,68,173,18,,0,80,550,2
23413,ESP,0,0,0,2020,,0,16,700,2
23416,AUT,0,68,183,12,,1,32,700,2
23417,USA,0,78,0,15,ARBORIST,0,18,800,3
23418,ESP,0,63,172,13,,0,124,1000,4
23419,FRA,0,58,172,2020,,0,356,1100,4
23421,GBR,0,0,0,30,,0,112,1050,4
23422,KOR,0,63,0,2020,,0,28,950,3
23423,USA,0,0,0,12,NONE,0,3,500,2
23424,CHE,1,0,160,21,STUDENT,1,280,1050,4
23425,SWE,1,53,158,2020,,0,85,650,2
23426,AUT,0,63,165,16,,0,2,800,3
23427,DNK,0,68,185,16,,0,153,900,3
23428,SWE,0,63,187,13,STUDENT,0,29,850,3
23431,BRA,1,58,170,2020,,0,219,850,3
23434,FIN,0,78,180,2020,,0,53,650,2
23435,NOR,0,0,0,2020,,0,403,900,3
23439,ESP,0,78,187,15,,0,966,850,3
23440,RUS,0,68,182,2020,,1,39,850,3
23442,CHE,0,83,174,25,TRADER,1,1,1300,4
23450,SWE,0,43,163,16,STUDENT,0,1,250,1
23451,FRA,0,0,0,2020,,0,24,1200,4
23452,POL,0,63,176,2020,,1,45,700,2
23453,SWE,1,58,172,20,BIOLOGYSTUDENT,0,8,450,1
23454,USA,1,53,170,12,BARISTA,0,94,650,2
23456,DEU,0,0,182,21,,0,412,1100,4
23457,USA,0,83,186,15,,0,1535,950,3
23458,ESP,0,73,182,18,COMPUTER SCIENCE ENGINEER,0,75,850,3
23461,HRV,0,68,173,13,...STUDENT...,0,7,500,2
23463,FRA,1,58,166,15,,0,32,700,2
23465,CHE,0,0,0,2020,,0,22,800,3
23466,USA,0,0,0,2020,,1,1275,1100,4
23467,USA,0,0,0,12,,0,8,550,2
23468,CHE,0,0,180,2020,STUDENT,0,121,1100,4
23470,USA,1,48,157,13,STUDENT/RESEARCH,0,20,800,3
23471,USA,0,98,0,14,,0,1,400,1
23474,USA,0,58,170,12,,0,19,700,2
23475,USA,0,0,0,17,,0,11,700,2
23476,ESP,0,63,176,12,,0,354,1000,4
23478,USA,0,53,170,15,,0,4,700,2
23479,USA,0,0,0,2020,,0,10,900,3
23480,USA,0,73,0,2020,PE TEACHER,1,12,950,3
23482,ESP,0,73,182,15,STUDY,0,63,550,2
23487,USA,0,73,0,14,STUDENT,0,3,1050,4
23488,SWE,0,78,181,13,,0,9,450,1
23489,DEU,0,58,171,16,,0,10,900,3
23490,USA,0,73,0,12,,0,678,950,3
23492,USA,1,0,0,14,STUDENT,0,11,650,2
23493,USA,0,68,0,20,TO BE DETERMINED,0,10,1000,4
23496,ITA,0,68,175,34,COMMESSO ALIMENTARE,0,8,600,2
23498,USA,0,63,185,13,RESEARCH ASSISTANT,0,3,550,2
23499,ITA,0,58,175,19,MENESTRELLO,1,338,900,3
23501,USA,1,0,160,15,ENGINEER,0,18,800,3
23502,DNK,0,73,178,30,,0,96,500,2
23503,USA,0,73,181,22,,0,5,850,3
23506,ITA,0,73,173,20,,1,15,700,2
23507,ESP,0,63,169,15,,0,21,550,2
23509,TUR,0,63,177,37,PRIV.,0,47,950,3
23513,USA,0,0,0,14,,0,289,950,3
23517,FRA,1,63,173,21,STUDENT,1,1,600,2
23520,CHE,0,73,177,12,,0,14,600,2
23521,FRA,0,68,179,17,DADDY,0,15,500,2
